short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall
L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72,Argentina,Paris Saint-Germain,94
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83,Portugal,Manchester United,93
Neymar Jr,Neymar da Silva Santos Junior,27,1992-02-05,175,68,Brazil,Paris Saint-Germain,92
J. Oblak,Jan Oblak,26,1993-01-07,188,87,Slovenia,Atlético Madrid,93
E. Hazard,Eden Hazard,28,1991-01-07,175,74,Belgium,Real Madrid,91
K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,70,Belgium,Manchester City,91
M. ter Stegen,Marc-André ter Stegen,27,1992-04-30,187,85,Germany,FC Barcelona,93
V. van Dijk,Virgil van Dijk,27,1991-07-08,193,92,Netherlands,Liverpool,91
L. Modrić,Luka Modrić,33,1985-09-09,172,66,Croatia,Real Madrid,90
M. Salah,Mohamed  Salah Ghaly,27,1992-06-15,175,71,Egypt,Liverpool,90
K. Mbappé,Kylian Mbappé,20,1998-12-20,178,73,France,Paris Saint-Germain,95
K. Koulibaly,Kalidou Koulibaly,28,1991-06-20,187,89,Senegal,Napoli,91
H. Kane,Harry Kane,25,1993-07-28,188,89,England,Tottenham Hotspur,91
Alisson,Alisson Ramses Becker,26,1992-10-02,191,91,Brazil,Liverpool,91
De Gea,David De Gea Quintana,28,1990-11-07,192,82,Spain,Manchester United,90
N. Kanté,N'Golo Kanté,28,1991-03-29,168,72,France,Chelsea,90
G. Chiellini,Giorgio Chiellini,34,1984-08-14,187,85,Italy,Juventus,89
S. Agüero,Sergio Leonel Agüero del Castillo,31,1988-06-02,173,70,Argentina,Manchester City,89
Sergio Ramos,Sergio Ramos García,33,1986-03-30,184,82,Spain,Real Madrid,89
L. Suárez,Luis Alberto Suárez Díaz,32,1987-01-24,182,86,Uruguay,FC Barcelona,89
R. Lewandowski,Robert Lewandowski,30,1988-08-21,184,80,Poland,FC Bayern München,89
Sergio Busquets,Sergio Busquets i Burgos,30,1988-07-16,189,76,Spain,FC Barcelona,89
A. Griezmann,Antoine Griezmann,28,1991-03-21,176,73,France,FC Barcelona,89
P. Dybala,Paulo Bruno Exequiel Dybala,25,1993-11-15,177,75,Argentina,Juventus,92
P. Pogba,Paul Pogba,26,1993-03-15,191,84,France,Manchester United,91
Ederson,Ederson Santana de Moraes,25,1993-08-17,188,86,Brazil,Manchester City,91
R. Sterling,Raheem Sterling,24,1994-12-08,170,69,England,Manchester City,90
